"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Olfr690",0,NA,NA,NA,NA,NA
"Gm45331",0,NA,NA,NA,NA,NA
"Olfr689",0,NA,NA,NA,NA,NA
"Olfr688",0,NA,NA,NA,NA,NA
"Olfr687",0,NA,NA,NA,NA,NA
"Olfr686",0,NA,NA,NA,NA,NA
"Olfr685",2.90502240422594,1.03745265905142,2.40562585425608,0.431261019753319,0.666278590017442,0.99908871025226
"Olfr684",0,NA,NA,NA,NA,NA
"Olfr683",0,NA,NA,NA,NA,NA
"Olfr682-ps1",0,NA,NA,NA,NA,NA
"Olfr681",0,NA,NA,NA,NA,NA
"Gm17990",0,NA,NA,NA,NA,NA
"Olfr680-ps1",0,NA,NA,NA,NA,NA
"Olfr679",0,NA,NA,NA,NA,NA
"Gm17989",0,NA,NA,NA,NA,NA
"Olfr678",0,NA,NA,NA,NA,NA
"Gm8913",0,NA,NA,NA,NA,NA
"Olfr677",0,NA,NA,NA,NA,NA
"Olfr676",0,NA,NA,NA,NA,NA
"Olfr675",0,NA,NA,NA,NA,NA
"Olfr674-ps1",0,NA,NA,NA,NA,NA
"Olfr673-ps1",0,NA,NA,NA,NA,NA
"Olfr672",0,NA,NA,NA,NA,NA
"Olfr671",0,NA,NA,NA,NA,NA
"Olfr670",0.749796681605407,1.96496542034909,4.25348602249598,0.461965881621971,0.644105787581761,0.99908871025226
"Gm5900",0,NA,NA,NA,NA,NA
"Gm51508",0,NA,NA,NA,NA,NA
"Olfr669",0,NA,NA,NA,NA,NA
"Olfr668",0,NA,NA,NA,NA,NA
"Olfr667",0,NA,NA,NA,NA,NA
"Olfr666",6.66595739808862,0.150125569271307,2.52638624388113,0.0594230473012228,0.952615156400918,0.99908871025226
"Olfr665",0,NA,NA,NA,NA,NA
"Usp17la",0,NA,NA,NA,NA,NA
"Usp17lb",2.12718713115609,1.87665059340218,2.75901639746665,0.680188271126382,0.496385257931772,0.99908871025226
"Gm4887",0,NA,NA,NA,NA,NA
"Usp17le",0.464101551537939,0.874586446481973,4.50195184765276,0.194268280976387,0.845965820588461,NA
"Olfr664",0,NA,NA,NA,NA,NA
"Olfr663",0,NA,NA,NA,NA,NA
"Olfr662-ps1",0,NA,NA,NA,NA,NA
"Gm6593",0,NA,NA,NA,NA,NA
"Olfr661",0,NA,NA,NA,NA,NA
"Olfr660-ps1",0,NA,NA,NA,NA,NA
"Olfr659",0,NA,NA,NA,NA,NA
"Usp17le-ps",0.295965373319247,0.296992494461964,4.53207645824001,0.0655312189012137,0.947751050659475,NA
"Olfr658",0.166087910147614,-1.0050126202798,4.56209215174643,-0.220296431297441,0.825640299311718,NA
"Olfr657",0,NA,NA,NA,NA,NA
