"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Aamdc",0.166087910147614,-1.0050126202798,4.56209215174643,-0.220296431297441,0.825640299311718,NA
"Gm24412",0,NA,NA,NA,NA,NA
"Ints4",7.97903067578639,-1.02059193766949,3.09078733838483,-0.330204516174453,0.741245434636245,0.99908871025226
"Kctd14",0,NA,NA,NA,NA,NA
"Gm32945",0,NA,NA,NA,NA,NA
"Thrsp",0.17840642147047,-1.00501262027981,4.56209215174643,-0.220296431297441,0.825640299311718,NA
"Ndufc2",0,NA,NA,NA,NA,NA
"Alg8",0,NA,NA,NA,NA,NA
"Kctd21",0,NA,NA,NA,NA,NA
"Usp35",0,NA,NA,NA,NA,NA
"Gab2",648.000347420146,-0.77956552006444,1.81919193119401,-0.428522964892869,0.66827041758617,0.99908871025226
"Nars2",0.523656508497845,0.957561097311345,4.49843770469366,0.21286525682288,0.831432062345283,NA
"Gm22226",0,NA,NA,NA,NA,NA
"Gm15413",0,NA,NA,NA,NA,NA
"Rps11-ps5",0,NA,NA,NA,NA,NA
"Gm15412",0,NA,NA,NA,NA,NA
"Mir6394",0,NA,NA,NA,NA,NA
"Mir708",0,NA,NA,NA,NA,NA
"Gm8319",0,NA,NA,NA,NA,NA
"Gm5037",0,NA,NA,NA,NA,NA
"Tenm4",0,NA,NA,NA,NA,NA
"Gm39049",0,NA,NA,NA,NA,NA
"LOC115486593",0,NA,NA,NA,NA,NA
"Gm8309",0,NA,NA,NA,NA,NA
"Gm25684",0,NA,NA,NA,NA,NA
"Gm19761",0,NA,NA,NA,NA,NA
"Gm5899",0,NA,NA,NA,NA,NA
"Gm32647",0,NA,NA,NA,NA,NA
"Gm18197",0,NA,NA,NA,NA,NA
"Gm51468",0,NA,NA,NA,NA,NA
"Bc1-ps1",0,NA,NA,NA,NA,NA
"Gm8285",0,NA,NA,NA,NA,NA
"Gm15501",0,NA,NA,NA,NA,NA
"Gm25860",0,NA,NA,NA,NA,NA
"LOC118567521",0,NA,NA,NA,NA,NA
